time,RTT_ms_mean,packet_loss_rate_pct,retrans_segs_per_sec,conn_fail_rate_server,listen_drops_per_sec,Recv-Q_Bytes_max,Send-Q_Bytes_max,run_queue_len_cpu0,cwnd_min,ssthresh_min,nic_usage_pct,total_packets_per_sec,used_MB,available_MB,total_mem_events_per_sec,cpu_throttle_per_sec,softirq_net_rx_per_sec,softirq_net_tx_per_sec,iostat_r_await,iostat_aqu_sz,Label
11:37:22,0.0,0.0,0.0,0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1721.0,6171.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:37:23,0.0,0.0,0.0,0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1807.0,6085.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:37:24,0.0,0.0,0.0,0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,1867.0,6026.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11:37:25,0.0,100.0,37.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,37.0,0.0,0.0,1820.0,0.0,1.0,0.0,0.0,0.0,0
11:37:26,0.0,100.0,37.0,0,0.0,0.0,0.0,2,0.0,0.0,0.0,37.0,1881.0,6011.0,5063.0,0.0,1.0,0.0,0.0,0.0,0
11:37:27,0.0,3.4361233480176208,39.0,0,0.0,0.0,0.0,5,0.0,0.0,0.21487199999999998,1135.0,1884.0,6009.0,5410.0,0.0,0.0,0.0,0.0,0.0,0
11:37:28,0.0,0.25609756097560976,42.0,0,0.0,862.0,862.0,16,10.0,61440.0,4.0472432000000005,16400.0,0.0,0.0,4808.0,0.0,12330.0,0.0,0.0,0.0,0
11:37:29,0.0,0.4559101523407094,41.0,0,0.0,0.0,0.0,10,0.0,0.0,2.2638135999999998,8993.0,1886.0,6007.0,6066.0,0.0,6281.0,0.0,0.0,0.0,0
11:37:30,0.0,0.21673690547862734,54.0,0,0.0,862.0,862.0,8,10.0,61440.0,5.8922848,24915.0,1890.0,6003.0,6070.0,0.0,18656.0,0.0,0.0,0.0,0
11:37:31,0.0,0.34240179294029754,55.0,0,0.0,0.0,0.0,6,0.0,0.0,3.9111672,16063.0,1895.0,5998.0,8324.0,0.0,0.0,0.0,0.0,0.0,0
11:37:32,0.0,0.2004008016032064,52.0,0,0.0,862.0,862.0,7,10.0,61440.0,6.3687048,25948.0,1903.0,5990.0,9802.0,0.0,23036.0,0.0,0.0,0.0,0
11:37:33,0.0,0.16993140950380028,55.0,0,0.0,10371.0,10371.0,5,10.0,61440.0,7.763042400000001,32366.0,1907.0,5986.0,6958.0,0.0,18585.0,0.0,0.0,0.0,0
11:37:34,0.0,0.32275416890801506,48.0,0,0.0,0.0,0.0,4,0.0,0.0,3.7696319999999996,14872.0,1907.0,5986.0,8813.0,0.0,15500.0,0.0,0.0,0.0,0
11:37:35,0.0,0.20417967811674273,51.0,0,0.0,862.0,862.0,7,10.0,61440.0,6.060244,24978.0,0.0,0.0,9144.0,0.0,18321.0,0.0,0.0,0.0,0
11:37:36,0.0,0.14733071412063786,51.0,0,0.0,862.0,862.0,9,10.0,61440.0,8.4606632,34616.0,1913.0,5980.0,7280.0,0.0,24561.0,0.0,0.0,0.0,0
11:37:37,0.0,0.1757276221856123,48.0,0,0.0,0.0,0.0,1,0.0,0.0,6.5260224000000004,27315.0,1915.0,5978.0,9775.0,0.0,18647.0,0.0,0.0,0.0,0
11:37:38,0.0,0.2667471941214958,53.0,0,0.0,862.0,862.0,6,10.0,61440.0,0.0,19869.0,1916.0,5977.0,9829.0,0.0,0.0,0.0,0.0,0.0,0
11:37:39,0.0,0.3490266035833398,45.0,0,0.0,862.0,862.0,6,10.0,61440.0,8.0973952,12893.0,1919.0,5974.0,0.0,0.0,19391.0,0.0,0.0,0.0,0
11:37:40,0.0,0.18101290198343925,47.0,0,0.0,0.0,0.0,8,0.0,0.0,6.3935792000000005,25965.0,1919.0,5973.0,12481.0,0.0,18847.0,0.0,0.0,0.0,0
11:37:41,0.0,0.22423759218656567,45.0,0,0.0,862.0,862.0,8,10.0,61440.0,5.2008088,20068.0,1919.0,5974.0,9216.0,0.0,14860.0,0.0,0.0,0.0,0
11:37:42,0.0,0.26144460962731325,51.0,0,0.0,862.0,10371.0,8,10.0,61440.0,0.0,19507.0,0.0,0.0,8440.0,0.0,14515.0,0.0,0.0,0.0,0
11:37:43,0.0,0.19894437677628907,49.0,0,0.0,0.0,0.0,9,0.0,0.0,10.772112,24630.0,1920.0,5972.0,5856.0,0.0,0.0,0.0,0.0,0.0,0
11:37:44,0.0,0.21622098667372697,49.0,0,0.0,862.0,862.0,3,10.0,61440.0,5.36244,22662.0,1922.0,5971.0,9488.0,0.0,22534.0,0.0,0.0,0.0,0
11:37:45,0.0,0.23768449300364194,62.0,0,0.0,862.0,862.0,8,10.0,61440.0,6.7075656,26085.0,1923.0,5969.0,6397.0,0.0,20598.0,0.0,0.0,0.0,0
