time,RTT_ms_mean,packet_loss_rate_pct,retrans_segs_per_sec,conn_fail_rate_server,listen_drops_per_sec,Recv-Q_Bytes_max,Send-Q_Bytes_max,run_queue_len_cpu0,cwnd_min,ssthresh_min,nic_usage_pct,total_packets_per_sec,used_MB,available_MB,total_mem_events_per_sec,cpu_throttle_per_sec,softirq_net_rx_per_sec,softirq_net_tx_per_sec,iostat_r_await,iostat_aqu_sz,Label
02:56:22,0.0,0.0,0.0,0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,1537.0,6356.0,0.0,0.0,0.0,0.0,0.0,0.0,0
02:56:23,0.0,100.0,56.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,56.0,1697.0,6195.0,6848.0,0.0,1.0,0.0,0.0,0.0,0
02:56:24,0.0,100.0,56.0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,56.0,1718.0,6175.0,4449.0,0.0,0.0,0.0,0.0,0.0,0
02:56:25,0.0,100.0,56.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,56.0,1743.0,6150.0,6860.0,0.0,1.0,0.0,0.0,0.0,0
02:56:26,0.0,100.0,56.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,56.0,1783.0,6110.0,6628.0,0.0,0.0,0.0,0.0,0.0,0
02:56:27,6.764884615384612,0.2032876520276191,58.0,0,0.0,862.0,862.0,3,10.0,61440.0,0.0,28531.0,1797.0,6095.0,13898.0,0.0,10866.0,0.0,0.0,0.0,0
02:56:28,5.354297035612445,0.0,0.0,0,0.0,862.0,862.0,5,10.0,61440.0,33.065724,139884.0,1797.0,6095.0,32124.0,0.0,99526.0,0.0,0.0,0.0,0
02:56:29,5.621226688769157,0.07643761514640743,117.0,0,0.0,862.0,862.0,7,10.0,61440.0,27.166432800000003,153066.0,1796.0,6097.0,32812.0,0.0,109674.0,0.0,0.0,0.0,0
02:56:30,5.286268394619453,0.0632747389163749,105.0,0,0.0,0.0,0.0,9,0.0,0.0,28.714842400000002,165943.0,1793.0,6099.0,34491.0,0.0,117062.0,0.0,0.0,0.0,0
02:56:31,5.005155159167562,0.04882601252170903,79.0,0,0.0,862.0,862.0,8,10.0,61440.0,29.4804664,161799.0,1789.0,6103.0,33596.0,0.0,116506.0,0.0,0.0,0.0,0
02:56:32,4.967162901744684,0.0,0.0,0,0.0,862.0,862.0,6,10.0,61440.0,30.682332000000002,0.0,1788.0,6105.0,32356.0,0.0,125325.0,0.0,0.0,0.0,0
02:56:33,5.254919234077836,0.025499313810600267,89.0,0,0.0,862.0,862.0,9,10.0,61440.0,30.211517599999997,349029.0,1780.0,6113.0,34142.0,0.0,122281.0,0.0,0.0,0.0,0
02:56:34,5.1829769166782675,0.047970658958975974,79.0,0,0.0,862.0,862.0,9,10.0,61440.0,29.280837599999998,164684.0,1775.0,6117.0,34098.0,0.0,117902.0,0.0,0.0,0.0,0
02:56:35,4.970557323784922,0.05613115981008957,96.0,0,0.0,862.0,862.0,9,10.0,61440.0,30.076033600000002,171028.0,1774.0,6119.0,34868.0,0.0,120940.0,0.0,0.0,0.0,0
02:56:36,4.966942321056285,0.051323979637509475,86.0,0,0.0,0.0,0.0,7,0.0,0.0,29.7590704,167563.0,1773.0,6119.0,34381.0,0.0,120033.0,0.0,0.0,0.0,0
02:56:37,5.0081908136658475,0.04245738898230756,76.0,0,0.0,862.0,862.0,7,10.0,61440.0,31.767703200000003,179003.0,1765.0,6127.0,36386.0,0.0,129010.0,0.0,0.0,0.0,0
02:56:38,5.3424747366922904,0.049117062331891004,84.0,0,0.0,862.0,862.0,8,10.0,61440.0,0.0,171020.0,1768.0,6125.0,34916.0,0.0,118449.0,0.0,0.0,0.0,0
02:56:39,5.044809581893342,0.045878759341760535,76.0,0,0.0,862.0,862.0,9,10.0,61440.0,59.112052000000006,165654.0,1767.0,6126.0,31485.0,0.0,120287.0,0.0,0.0,0.0,0
02:56:40,4.957895707744519,0.05237078515892519,91.0,0,0.0,862.0,862.0,7,10.0,61440.0,31.4209032,173761.0,1766.0,6127.0,33117.0,0.0,126495.0,0.0,0.0,0.0,0
02:56:41,5.18432847195762,0.045458991961239016,79.0,0,0.0,862.0,862.0,11,10.0,61440.0,30.151739199999998,173783.0,1765.0,6128.0,35470.0,0.0,123668.0,0.0,0.0,0.0,0
02:56:42,5.33832122507124,0.04368327828043468,73.0,0,0.0,862.0,862.0,7,10.0,61440.0,29.106312000000003,167112.0,0.0,0.0,34340.0,0.0,118837.0,0.0,0.0,0.0,0
02:56:43,5.086048499710485,0.05714534172293205,92.0,0,0.0,0.0,0.0,10,0.0,0.0,28.7110904,160993.0,1763.0,6130.0,33099.0,0.0,119826.0,0.0,0.0,0.0,0
02:56:44,5.688473458871674,0.05729449369760569,95.0,0,0.0,862.0,862.0,8,10.0,61440.0,27.797588,165810.0,1763.0,6130.0,33795.0,0.0,112371.0,0.0,0.0,0.0,0
02:56:45,5.837861056067153,0.061007609551298865,93.0,0,0.0,862.0,862.0,8,10.0,61440.0,27.0812864,152440.0,1766.0,6127.0,27737.0,0.0,107652.0,0.0,0.0,0.0,0
02:56:46,5.537703574606923,0.05862020173434941,87.0,0,0.0,862.0,862.0,7,10.0,61440.0,27.1771984,148413.0,1767.0,6126.0,30809.0,0.0,112523.0,0.0,0.0,0.0,0
02:56:47,5.000664567451104,0.05503106197720491,90.0,0,0.0,862.0,862.0,9,10.0,61440.0,28.468408,163544.0,1768.0,6125.0,0.0,0.0,122004.0,0.0,0.0,0.0,0
02:56:48,5.252161263216872,0.044837565727795216,77.0,0,0.0,862.0,862.0,6,10.0,61440.0,30.158088799999998,171731.0,1768.0,6124.0,68854.0,0.0,0.0,0.0,0.0,0.0,0
02:56:49,5.059507374131233,0.05300353356890459,90.0,0,0.0,0.0,0.0,6,0.0,0.0,29.5818184,169800.0,1769.0,6124.0,34382.0,0.0,116156.0,0.0,0.0,0.0,0
02:56:50,5.02328005605795,0.05913408195861833,97.0,0,0.0,862.0,862.0,9,10.0,61440.0,29.622035200000003,164034.0,1764.0,6129.0,33733.0,0.0,121024.0,0.0,0.0,0.0,0
02:56:51,5.064146987951772,0.046359890109890105,81.0,0,0.0,862.0,862.0,8,10.0,61440.0,30.433699199999996,174720.0,1765.0,6128.0,35427.0,0.0,122320.0,0.0,0.0,0.0,0
02:56:52,5.170398403633119,0.0414085819286047,72.0,0,0.0,862.0,862.0,10,10.0,61440.0,30.2795552,173877.0,1766.0,6127.0,30729.0,0.0,126648.0,0.0,0.0,0.0,0
02:56:53,6.353106115958223,0.04779941188571705,79.0,0,0.0,862.0,862.0,9,10.0,61440.0,29.016222400000004,165274.0,1766.0,6126.0,33971.0,0.0,118308.0,0.0,0.0,0.0,0
02:56:54,9.266257586405189,0.08365309425521468,92.0,0,0.0,862.0,862.0,9,10.0,61440.0,17.9592712,109978.0,1767.0,6126.0,24567.0,0.0,90846.0,0.0,0.0,0.0,0
02:56:55,10.524390309555825,0.10627745500921071,90.0,0,0.0,862.0,862.0,10,10.0,61440.0,14.477057600000002,84684.0,1767.0,6126.0,20043.0,0.0,65074.0,0.0,0.0,0.0,0
02:56:56,9.905059034226559,0.0,0.0,0,0.0,0.0,0.0,10,0.0,0.0,14.301968800000001,82287.0,1767.0,6125.0,19578.0,0.0,60392.0,0.0,0.0,0.0,0
02:56:57,9.658315454131774,0.15006922207074389,142.0,0,0.0,862.0,862.0,11,10.0,61440.0,16.3661904,94623.0,1767.0,6125.0,19863.0,0.0,67954.0,0.0,0.0,0.0,0
